# DataSuite 2 reference corpus – slug <TAB> reference text, sorted by slug. See README.md.
method:chatterjee-xi	Chatterjee S (2021). “A new coefficient of correlation.” _Journal of the American Statistical Association_, *116*(536), 2009-2022. doi:10.1080/01621459.2020.1758115
method:chatterjee-xi	Lin Z, Han F (2025). “Limit theorems of Chatterjee’s rank correlation.” _arXiv_. doi:10.48550/arXiv.2204.08031
method:cheng-church	Cheng Y, Church GM (2000). “Biclustering of expression data.” In _Proceedings of the Eighth International Conference on Intelligent Systems for Molecular Biology_, 93-103. AAAI Press, Menlo Park.
method:classical-decomposition	Persons WM (1919). “Indices of business conditions.” _The Review of Economics and Statistics_, *1*(1), 5-107.
method:classical-decomposition	Kendall MG, Stuart A, Ord JK (1983). _The Advanced Theory of Statistics, Volume 3: Design and Analysis, and Time-Series_, 4th edition. Griffin, London.
method:cluster-stability	Hennig C (2007). “Cluster-wise assessment of cluster stability.” _Computational Statistics & Data Analysis_, *52*(1), 258-271. doi:10.1016/j.csda.2006.11.025
method:cluster-stability	Hennig C (2008). “Dissolution point and isolation robustness: robustness criteria for general cluster analysis methods.” _Journal of Multivariate Analysis_, *99*(6), 1154-1176. doi:10.1016/j.jmva.2007.07.002
method:cochran-expected-counts	Cochran WG (1954). “Some methods for strengthening the common χ² tests.” _Biometrics_, *10*(4), 417-451. doi:10.2307/3001616
method:coefficient-h	Hancock GR, Mueller RO (2001). “Rethinking construct reliability within latent variable systems.” In Cudeck R, du Toit S, Sörbom D (eds.), _Structural Equation Modeling: Present and Future_, 195-216. Scientific Software International, Lincolnwood.
method:cohen-benchmarks	Cohen J (1988). _Statistical Power Analysis for the Behavioral Sciences_, 2nd edition. Lawrence Erlbaum Associates, Hillsdale, NJ.
method:cohen-kappa	Cohen J (1960). “A coefficient of agreement for nominal scales.” _Educational and Psychological Measurement_, *20*(1), 37-46. doi:10.1177/001316446002000104
method:cohen-kappa	Cohen J (1968). “Weighted kappa: nominal scale agreement with provision for scaled disagreement or partial credit.” _Psychological Bulletin_, *70*(4), 213-220. doi:10.1037/h0026256
method:cohen-kappa	Fleiss JL, Cohen J, Everitt BS (1969). “Large sample standard errors of kappa and weighted kappa.” _Psychological Bulletin_, *72*(5), 323-327. doi:10.1037/h0028106
method:complete-linkage	Sørensen T (1948). “A method of establishing groups of equal amplitude in plant sociology based on similarity of species content and its application to analyses of the vegetation on Danish commons.” _Biologiske Skrifter_, *5*(4), 1-34.
method:composite-reliability	Jöreskog KG (1971). “Statistical analysis of sets of congeneric tests.” _Psychometrika_, *36*(2), 109-133. doi:10.1007/BF02291393
method:composite-reliability	Raykov T (1997). “Estimation of composite reliability for congeneric measures.” _Applied Psychological Measurement_, *21*(2), 173-184. doi:10.1177/01466216970212006
method:concordance	Harrell FE, Califf RM, Pryor DB, Lee KL, Rosati RA (1982). “Evaluating the yield of medical tests.” _JAMA_, *247*(18), 2543-2546. doi:10.1001/jama.1982.03320430047030
method:cooks-distance	Cook RD (1977). “Detection of influential observation in linear regression.” _Technometrics_, *19*(1), 15-18. doi:10.1080/00401706.1977.10489493
method:cooks-distance	Hoaglin DC, Welsch RE (1978). “The hat matrix in regression and ANOVA.” _The American Statistician_, *32*(1), 17-22. doi:10.1080/00031305.1978.10479237
method:cophenetic-correlation	Sokal RR, Rohlf FJ (1962). “The comparison of dendrograms by objective methods.” _Taxon_, *11*(2), 33-40. doi:10.2307/1217208
method:corrected-item-total-correlation	Cureton EE (1966). “Corrected item-test correlations.” _Psychometrika_, *31*(1), 93-96. doi:10.1007/BF02289461
method:correlation-ratio	Pearson K (1905). _Mathematical Contributions to the Theory of Evolution. XIV. On the General Theory of Skew Correlation and Non-linear Regression_. Drapers' Company Research Memoirs, Biometric Series II. Dulau, London.
method:correlation-ratio	Fisher RA (1925). _Statistical Methods for Research Workers_. Oliver & Boyd, Edinburgh.	background
method:correlation-ratio	Kelley TL (1935). “An unbiased correlation ratio measure.” _Proceedings of the National Academy of Sciences_, *21*(9), 554-559. doi:10.1073/pnas.21.9.554
method:corrgram	Murdoch DJ, Chow ED (1996). “A graphical display of large correlation matrices.” _The American Statistician_, *50*(2), 178-180. doi:10.1080/00031305.1996.10474371
method:corrgram	Friendly M (2002). “Corrgrams: exploratory displays for correlation matrices.” _The American Statistician_, *56*(4), 316-324. doi:10.1198/000313002533
method:cox-regression	Cox DR (1975). “Partial likelihood.” _Biometrika_, *62*(2), 269-276. doi:10.1093/biomet/62.2.269
method:cox-regression	Andersen PK, Gill RD (1982). “Cox's regression model for counting processes: a large sample study.” _The Annals of Statistics_, *10*(4), 1100-1120. doi:10.1214/aos/1176345976	background
method:cox-zph	Schoenfeld D (1982). “Partial residuals for the proportional hazards regression model.” _Biometrika_, *69*(1), 239-241. doi:10.1093/biomet/69.1.239
method:cox-zph	Grambsch PM, Therneau TM (1994). “Proportional hazards tests and diagnostics based on weighted residuals.” _Biometrika_, *81*(3), 515-526. doi:10.1093/biomet/81.3.515
method:cramer-von-mises	Cramér H (1928). “On the composition of elementary errors.” _Scandinavian Actuarial Journal_, *1928*(1), 13-74. doi:10.1080/03461238.1928.10416862
method:cramer-von-mises	von Mises RE (1928). _Wahrscheinlichkeit, Statistik und Wahrheit_. Julius Springer, Vienna.
method:cramer-von-mises	Stephens MA (1970). “Use of the Kolmogorov-Smirnov, Cramér-von Mises and related statistics without extensive tables.” _Journal of the Royal Statistical Society. Series B (Methodological)_, *32*(1), 115-122. doi:10.1111/j.2517-6161.1970.tb00821.x
method:cramers-v	Bergsma W (2013). “A bias-correction for Cramér's V and Tschuprow's T.” _Journal of the Korean Statistical Society_, *42*(3), 323-328. doi:10.1016/j.jkss.2012.10.002
method:crawford-ferguson	Crawford CB, Ferguson GA (1970). “A general rotation criterion and its use in orthogonal rotation.” _Psychometrika_, *35*(3), 321-332. doi:10.1007/BF02310792
method:cronbach-alpha	Kuder GF, Richardson MW (1937). “The theory of the estimation of test reliability.” _Psychometrika_, *2*(3), 151-160. doi:10.1007/BF02288391
method:cronbach-alpha	Cronbach LJ (1951). “Coefficient alpha and the internal structure of tests.” _Psychometrika_, *16*(3), 297-334. doi:10.1007/BF02310555
method:cronbach-alpha	Feldt LS (1965). “The approximate sampling distribution of Kuder-Richardson reliability coefficient twenty.” _Psychometrika_, *30*(3), 357-370. doi:10.1007/BF02289499
method:cronbach-alpha	van Zyl JM, Neudecker H, Nel DG (2000). “On the distribution of the maximum likelihood estimator of Cronbach's alpha.” _Psychometrika_, *65*(3), 271-280. doi:10.1007/BF02296146
method:cumulative-incidence	Aalen O (1978). “Nonparametric estimation of partial transition probabilities in multiple decrement models.” _The Annals of Statistics_, *6*(3), 534-545. doi:10.1214/aos/1176344198
method:dagostino-pearson	D'Agostino RB (1970). “Transformation to normality of the null distribution of g₁.” _Biometrika_, *57*(3), 679-681. doi:10.1093/biomet/57.3.679
method:dagostino-pearson	D'Agostino R, Pearson ES (1973). “Tests for departure from normality. Empirical results for the distributions of b₂ and √b₁.” _Biometrika_, *60*(3), 613-622. doi:10.1093/biomet/60.3.613
method:dagostino-pearson	Anscombe FJ, Glynn WJ (1983). “Distribution of the kurtosis statistic b₂ for normal samples.” _Biometrika_, *70*(1), 227-234. doi:10.1093/biomet/70.1.227
method:damped-trend	Gardner ES, McKenzie E (1985). “Forecasting trends in time series.” _Management Science_, *31*(10), 1237-1246. doi:10.1287/mnsc.31.10.1237
method:davies-bouldin	Davies DL, Bouldin DW (1979). “A cluster separation measure.” _IEEE Transactions on Pattern Analysis and Machine Intelligence_, *PAMI-1*(2), 224-227. doi:10.1109/TPAMI.1979.4766909
method:dfbeta	Cain KC, Lange NT (1984). “Approximate case influence for the proportional hazards regression model with censored data.” _Biometrics_, *40*(2), 493-499. doi:10.2307/2531402
method:dif-effect-size	Meade AW (2010). “A taxonomy of effect size measures for the differential functioning of items and scales.” _Journal of Applied Psychology_, *95*(4), 728-743. doi:10.1037/a0018966
method:dif-likelihood-ratio	Thissen D, Steinberg L, Wainer H (1993). “Detection of differential item functioning using the parameters of item response models.” In Holland PW, Wainer H (eds.), _Differential Item Functioning_, 67-113. Lawrence Erlbaum Associates, Hillsdale.
method:dif-likelihood-ratio	Woods CM (2009). “Empirical selection of anchors for tests of differential item functioning.” _Applied Psychological Measurement_, *33*(1), 42-57. doi:10.1177/0146621607314044
method:distance-correlation	Székely GJ, Rizzo ML, Bakirov NK (2007). “Measuring and testing dependence by correlation of distances.” _The Annals of Statistics_, *35*(6), 2769-2794. doi:10.1214/009053607000000505
method:distance-correlation	Székely GJ, Rizzo ML (2009). “Brownian distance covariance.” _The Annals of Applied Statistics_, *3*(4), 1236-1265. doi:10.1214/09-AOAS312	background
method:distance-correlation	Székely GJ, Rizzo ML (2013). “The distance correlation t-test of independence in high dimension.” _Journal of Multivariate Analysis_, *117*, 193-213. doi:10.1016/j.jmva.2013.02.012
method:dkw-inequality	Dvoretzky A, Kiefer J, Wolfowitz J (1956). “Asymptotic minimax character of the sample distribution function and of the classical multinomial estimator.” _The Annals of Mathematical Statistics_, *27*(3), 642-669. doi:10.1214/aoms/1177728174
method:dkw-inequality	Massart P (1990). “The tight constant in the Dvoretzky-Kiefer-Wolfowitz inequality.” _The Annals of Probability_, *18*(3), 1269-1283. doi:10.1214/aop/1176990746
method:duda-hart	Duda RO, Hart PE (1973). _Pattern Classification and Scene Analysis_. John Wiley & Sons, New York.
method:dunn-index	Dunn JC (1974). “Well-separated clusters and optimal fuzzy partitions.” _Journal of Cybernetics_, *4*(1), 95-104. doi:10.1080/01969727408546059
method:eap	Bock RD, Mislevy RJ (1982). “Adaptive EAP estimation of ability in a microcomputer environment.” _Applied Psychological Measurement_, *6*(4), 431-444. doi:10.1177/014662168200600405
method:eap-sum	Thissen D, Pommerich M, Billeaud K, Williams VSL (1995). “Item response theory for scores on tests including polytomous items with ordered responses.” _Applied Psychological Measurement_, *19*(1), 39-49. doi:10.1177/014662169501900105
method:efron-ties	Efron B (1977). “The efficiency of Cox's likelihood function for censored data.” _Journal of the American Statistical Association_, *72*(359), 557-565. doi:10.1080/01621459.1977.10480613
method:elbow-method	Thorndike RL (1953). “Who belongs in the family?” _Psychometrika_, *18*(4), 267-276. doi:10.1007/BF02289263
method:elbow-method	Satopää V, Albrecht J, Irwin D, Raghavan B (2011). “Finding a ‘kneedle’ in a haystack: detecting knee points in system behavior.” In _2011 31st International Conference on Distributed Computing Systems Workshops_, 166-171. IEEE, Piscataway. doi:10.1109/ICDCSW.2011.20	background
method:ets	Hyndman RJ, Koehler AB, Snyder RD, Grose S (2002). “A state space framework for automatic forecasting using exponential smoothing methods.” _International Journal of Forecasting_, *18*(3), 439-454. doi:10.1016/S0169-2070(01)00110-8
